"","K","P","C","O","Fa","G","S","C7D_1_B","C7D_2_T","C7D_2_B","C7D_3_B","C7D_4_B","C7D_5_T","C8D_1_T","C8D_2_B","C8D_2_T","A4D_1_B","A4D_1_T","A4D_2_B","A4D_2_T","A4D_3_B","A4D_3_T","A4D_4_B","A4D_4_T","A4D_5_B","A4D_5_T","A4L_1_NA","A4L_3_NA","A4L_5_NA","A4S_NA_NA","A5D_1_T","A5D_2_T","A5D_3_T","A5D_4_B","A5D_4_T","A5D_5_B","A5D_5_T","A5L_2_NA","A5L_3_NA","A5L_4_NA","A5L_5_NA","A5S_NA_NA","A2D_1_B","A2D_1_T","A2D_2_B","A2D_3_B","A2D_3_T","A2D_4_B","A2D_4_T","A2D_5_B","A2D_5_T","A2L_1_NA","A2L_2_NA","A2L_3_NA","A2L_4_NA","A2L_5_NA","A2S_NA_NA","C4D_1_B","C4D_1_T","C4D_2_B","C4D_2_T","C4D_3_B","C4D_3_T","C4D_4_B","C4D_4_T","C4D_5_B","C4D_5_T","C4L_1_NA","C4L_2_NA","C4L_4_NA","C4S_NA_NA","A6D_1_B","A6D_1_T","A6D_2_B","A6D_2_T","A6D_3_B","A6D_3_T","A6D_4_B","A6D_4_T","A6D_5_B","A6D_5_T","A6L_1_NA","A6L_2_NA","A6L_5_NA","A6S_NA_NA","C5D_1_B","C5D_1_T","C5D_2_B","C5D_2_T","C5D_3_B","C5D_4_B","C5D_4_T","C5D_5_B","C5L_3_NA","C5L_4_NA","C5L_5_NA","C5S_NA_NA","GOD_5_B","GOD_5_T","GOL_1_NA","GOL_2_NA","GOL_3_NA","GOL_4_NA","GOL_5_NA","GOS_NA_NA","GMD_1_B","GMD_1_T","GMD_2_B","GMD_4_B","GMD_4_T","GMD_5_B","GMD_5_T","GML_1_NA","GML_3_NA","GML_4_NA","GML_5_NA","GMS_NA_NA","ROD_1_B","ROD_1_T","ROD_2_B","ROD_3_B","ROD_4_B","ROD_4_T","ROD_5_B","ROD_5_T","ROL_2_NA","ROL_4_NA","ROL_5_NA","RMD_2_B","RMD_2_T","RMD_3_B","RMD_4_B","RMD_4_T","RMD_5_B","RMD_5_T","RML_1_NA","RML_2_NA","RML_3_NA","RML_5_NA","C7D_5_B","C8D_1_B","A4L_2_NA","A4L_4_NA","A5D_1_B","A5L_1_NA","C4L_3_NA","C4L_5_NA","A6L_3_NA","A6L_4_NA","C5D_3_T","C5L_1_NA","C5D_5_T"
"6098","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Mariannaea","Mariannaea_humicola","3","0","1","1","1","0","0","10","1","42","1906","4","1","5294","1","0","0","0","1","0","13","37","0","32","0","2","0","0","0","6","4","0","0","1","0","0","79","2","0","3","61","0","203","1","1","0","0","48","1","0","5","2","0","1","0","610","1","1","0","22","3","1","0","23","0","0","96","2","0","0","0","0","1","4","0","69","1","0","23","1","2","1","42","0","1","0","1","5","14","0","5","2","0","7","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","4","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0"
"6099","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Mariannaea","Mariannaea_lignicola","1","5","1","1","0","44","0","87","1","1673","10","0","0","2","809","0","0","0","0","1","0","5","2","116","1","1","0","0","3","0","0","0","2","0","0","8","0","101","1","1","0","4","0","168","4","0","0","9","3","102","0","8","0","0","3","9","7","0","1","68","0","1","1","0","0","0","0","0","2","3","1","0","21146","0","16","0","0","0","25","0","1","55","1","1","6","0","1","35","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3"
"6100","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Mariannaea","Mariannaea_macrochlamydospora","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","153","0","0","0","0","0","0","0","0","4","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6101","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Mariannaea","Mariannaea_pinicola","13","13","1","25","13","73","19","1","11","98","21","1290","5","1","23","1","2","136","2","1","1","1","2","2","1","93","14","1","2","61","1","1","2","29","4","2","5","25","13","2","7","3","6","2","2","2","1","1","1","1","3","27","1","12","113","4","49","2","1","3","1368","5","445","16","4","6","27","1","1","14","4","1","200","2","1","2","7","4","6","1","21","3479","4","1","5","17","2","1884","3584","95","6","3","56","1","0","0","0","2","1","1","1","0","1","0","0","0","0","1","0","0","6","9","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","4","1","1","0","0","0","3","0","0","0","0","0"
"6102","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Mariannaea","Mariannaea_punicea","17","0","0","0","0","0","0","0","0","0","0","20","0","1","0","0","0","0","0","0","0","0","0","0","0","25","0","0","0","0","0","0","0","60","0","0","0","0","0","0","3","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6104","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Mariannaea","Mariannaea_sp","188","1","14","1","1","1","1","1","1","13","12","4","5","1","47","1","1","9","9","1","2","1","4","8","3","3","1","1","5","7","13","14","1","106","102","74","4","182","5","102","1","9","3","3","6","4","1","2","75","1","1","17","2","24","6","8","3","5","1","430","49","16","10","1","64","1","12","9","2","82","3","4","2","1","5","1","13","1","1","65","1","1","23","3","9","1","168","124","1","4","69","1","1","1","0","0","69","1","22","12","0","1680","0","297","0","9","0","0","0","1","11","2","0","0","1","3","181","1","2","10","0","0","0","0","0","1","2","1","1","0","0","0","18","1","4","2","0","2","0","0","0","8","2","0","10"
"6108","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Microcera","Microcera_rubra","0","0","0","34","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6111","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Nalanthamala","Nalanthamala_diospyri","0","39","1","0","0","0","0","0","1","1253","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","4","1","12","0","0","0","0","0","304","0","0","0","0","0","0","52","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0"
"6121","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Nectria","Nectria_pseudotrichia","0","0","0","41","0","0","0","0","0","6","0","4","0","3","0","0","3","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","1","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","83","0","0","0","6","256","84","0","0","0","0","0","1","2","0","0","1","0","0","0","0","0","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6122","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Nectria","Nectria_sp","4","1","1","814","13","2","1","0","1","12","17","9","0","174","1","0","2","15","0","2","1","90","1","3","2","45","1","1","1","0","26","4","8","1","23","1","4","2","3","1","149","13","13","1","7","2","1","113","25","6","14","15","46","19","24","1","0","5","0","33","690","1","26","2","7","9","98","1","2","67","0","3","349","1","42","1","14","23","3","4","15","1","0","15","1","2","2","60","2","15","5","72","2","0","0","0","0","1","17","1","0","0","0","2","2","0","0","0","0","0","0","1","0","0","7","0","9","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","4","229","0","1","7","2","0","0","11","1","19","0","1"
"6127","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Neonectria","Neonectria_lugdunensis","1","0","195","12","0","0","0","0","2","0","0","2","1","0","0","0","0","0","0","0","1","0","0","1","0","1","1","0","0","0","0","0","0","0","1","1","2","0","52","2","0","0","2","9","22","121","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","3","0","0","0","0","67","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","1","0","0","0","0","0","24","1","184","2","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","13","0","0","0","7","0","0","0","0","0","0","0","0","0","0"
"6130","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Neonectria","Neonectria_obtusispora","0","0","96","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","1","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","6","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","7","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","156","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6132","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Neonectria","Neonectria_sp","0","56","1","0","1","9","1","0","0","22","0","1","0","0","0","3","0","0","0","3","1","1","0","0","2","0","0","1","1","1","2","0","0","2","0","159","5","0","0","0","3","0","0","0","0","3","2","0","0","0","0","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","62","0","16","0","0","0","1","0","0","1","131","0","11","0","0","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","1","6","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","146","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"6133","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Neonectria","Neonectria_tsugae","0","0","16","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","151","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","7","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"6140","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Pseudocosmospora","Pseudocosmospora_eutypae","0","0","3","0","3","0","0","0","0","46","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","93","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","36938","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0"
"6141","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Pseudocosmospora","Pseudocosmospora_eutypellae","1","0","1","0","2","1","1","7","0","10","48","1","2","62","0","5","0","0","58","0","1","11","2","0","1","3","2","5","9","6","7","0","0","1","1","2","11","0","0","1","24","2","0","60","21","30","20","0","13","0","14","11","6","1","2","1","0","0","1","1","55","1","0","0","0","1","0","91","0","1","1","1","0","1","0","0","6","147","10","71","1","0","0","75","1","2","0","9","0","6","1","0","118","0","0","0","0","2","1","26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","7","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0"
"6142","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Pseudocosmospora","Pseudocosmospora_henanensis","0","0","1","0","0","0","0","3","0","5","7","0","0","0","7","131","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"6145","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Pseudocosmospora","Pseudocosmospora_rogersonii","2","2","2","83","1","1","4","0","1","1","1","40","1","1567","1","3","58","1","4","3","1","1","3","5","29","19","0","1","2","1","1","2","6","1","199","1","1","5","7","8","1","1","2","2","2","1","1","22","18","1","4","2","0","2","1","76","1","1","1","1","1","2","97","54","1","17","1","21","10","16","1","1","2","1","1","64","2","5","20","5","24","5","4","6","1","1","27","43","4","1","3","0","6","10","0","0","0","1","71","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","3","0","0","2","0","0","0","2","15","0","0","0","0","0","0","0","0","0","0","0"
"6146","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Pseudocosmospora","Pseudocosmospora_sp","1","0","25","1","3","0","4","2","1","2","1","15","1","1","2","0","8","1","1","1","0","1","2","0","1","3","1","4","7","1","0","1","0","1","2","63","16","0","2","8","1","2","1","0","1","2","0","2","23","1","1","0","2","3","1","0","1","1","0","0","5","8","4","8","99","1","2","1","0","0","2","0","161","1","1","0","1","0","7","2","20","66","0","2","4","1","0","4","1","4","0","0","0","72","0","0","1","1","1","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","5","3","0","0","0","0","0","0","0","0","0","0"
"6147","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Pseudocosmospora","Pseudocosmospora_vilior","0","0","2","24","2","0","1","1","1","14","16","1","0","1","1","3","5","1","0","2","2","8","0","0","0","7","0","1","1","1","0","0","0","1","1","7","17","0","5","4","1","5","0","0","0","1","0","0","0","2","1","2","110","8","0","0","2","0","2","1","0","2","0","1","2","0","3","1","5","3","0","0","59","1","2","0","24","4","0","1","4","0","0","1","21","6","0","4","1","0","2","0","1","0","0","0","2","1","1170","88","0","0","2","0","0","0","0","0","4","1","4","5","0","0","6","76","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","42","40","6","664","0","0","0","0","0","0","0","0","0"
"6160","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Stylonectria","Stylonectria_wegeliniana","0","0","2","0","0","0","6","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","2","9","341","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"6161","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Thelonectria","Thelonectria_discophora","3","1","9","1","5","246","46","1","1","336","52","1","2","1","3","1","97","1","6","4","3","1","3","1","1","6","1","1","1","136","1","6","14","1","59","2","7","2","2","1","3","8","4","2","1","422","2","1","2","5","2","1","1","3","2","2","3","3","1","1","10","3","1","120","6","2","1","6","1","28","2","3","1","1","2","27","7","66","1","1","2","85","1","17","1","2","125","1","2","1","558","9","15","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","1","0","0","0","0","1","4","0","0","0","0","0","0","0","0","0","0"
"6163","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Thelonectria","Thelonectria_mammoidea","2","0","0","1","0","0","3","0","0","0","14","1","107","1","0","1","0","7","0","0","1","1","2","0","0","10","0","0","0","0","72","0","8","0","1","12","0","1","96","0","0","0","0","0","0","0","3","0","0","0","0","0","106","0","0","31","0","0","0","0","0","0","1","0","0","0","2","4","0","0","0","0","3","0","2","0","0","52","0","0","0","0","0","0","0","0","0","0","3","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6164","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Thelonectria","Thelonectria_pinea","0","44","1","3","0","0","0","0","1","4","7","2","0","1","0","1","0","0","0","7","0","6","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","3","4","1","0","3","278","0","0","1","0","0","1","0","14","0","0","0","2","0","0","0","0","0","13","0","168","1","0","0","0","0","1","0","0","6","0","1","1","0","0","0","7","0","0","0","66","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6165","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Thelonectria","Thelonectria_rubi","0","2","0","1","0","0","1","0","3","0","0","5","0","2","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","1","0","1","0","7","1","4","2","0","0","0","0","0","2","0","22","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","3","0","0","0","21","147","0","1","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","25","2","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6173","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Thyronectria","Thyronectria_austroamericana","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","102","0","0","0","0","0","0","0","0","0","0","0","789","0","0","80","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","2"
"6174","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Thyronectria","Thyronectria_balsamea","0","1","44","1","0","0","2","8","1","232","1","8","0","0","1","1","0","0","1","1","1","2","0","0","0","3","1","1","0","0","111","3","0","2","1","0","0","1","0","2","0","0","2","0","0","0","0","1","54","0","1","1","0","1","0","1","11","0","3","0","1","7","0","1","0","5","1","6","5","0","0","2","0","0","97","1","4","2","1","0","4","2","130","0","3","0","8","15","0","0","2","1","0","0","0","0","0","2","3","0","0","0","1","3","0","1","0","2","1","3","0","43","2","0","0","0","0","1","0","0","0","0","0","0","2","0","0","1","15","0","1","0","0","0","1","8","2","1","0","0","0","1","0","9","9"
"6178","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Thyronectria","Thyronectria_coryli","0","0","2","8","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","7","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","177","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
